time	experiment	replicate	lactate
0	bhbt	A	0
4	bhbt	A	0
8	bhbt	A	0
12	bhbt	A	0.09991119
16	bhbt	A	0
20	bhbt	A	0
24	bhbt	A	1.310842056
28	bhbt	A	0.925842662
32	bhbt	A	1.055333656
36	bhbt	A	0.979701101
40	bhbt	A	0.89821778
44	bhbt	A	0.999369782
48	bhbt	A	0.895969845
60	bhbt	A	0.876699031
72	bhbt	A	1.03679934
96	bhbt	A	0.686398495
120	bhbt	A	0.725773001
0	bhbt	B	0
4	bhbt	B	0
8	bhbt	B	0
12	bhbt	B	0
16	bhbt	B	0
20	bhbt	B	0
24	bhbt	B	0.995755424
28	bhbt	B	1.331914169
32	bhbt	B	0.985414669
36	bhbt	B	0
40	bhbt	B	1.290259005
44	bhbt	B	1.224892495
48	bhbt	B	1.136151174
60	bhbt	B	1.410225386
72	bhbt	B	1.096206439
96	bhbt	B	0.809737737
120	bhbt	B	0.702514335
0	bhbt	C	0.161844028
4	bhbt	C	0
8	bhbt	C	0
12	bhbt	C	0
16	bhbt	C	0
20	bhbt	C	0
24	bhbt	C	0.940098396
28	bhbt	C	1.646593595
32	bhbt	C	1.324067726
36	bhbt	C	1.521487792
40	bhbt	C	1.464934783
44	bhbt	C	1.571599749
48	bhbt	C	1.438377607
60	bhbt	C	1.284053376
72	bhbt	C	1.008300914
96	bhbt	C	1.109604199
120	bhbt	C	1.234857058
0	bhbtri	A	0.263642695
4	bhbtri	A	0.271417918
8	bhbtri	A	0.306391996
12	bhbtri	A	0.521331267
16	bhbtri	A	1.539612849
20	bhbtri	A	2.233787697
24	bhbtri	A	3.173040149
28	bhbtri	A	3.420490777
32	bhbtri	A	3.428088654
36	bhbtri	A	3.340194603
40	bhbtri	A	3.435772077
44	bhbtri	A	3.31749556
48	bhbtri	A	3.221469805
60	bhbtri	A	3.27009325
72	bhbtri	A	3.325510969
96	bhbtri	A	3.152906731
120	bhbtri	A	3.04651421
0	bhbtri	B	0.262779486
4	bhbtri	B	0.273002067
8	bhbtri	B	0.291285591
12	bhbtri	B	0.476765679
16	bhbtri	B	1.408127328
20	bhbtri	B	2.427483879
24	bhbtri	B	2.585266135
28	bhbtri	B	3.217756969
32	bhbtri	B	3.239998359
36	bhbtri	B	3.187420108
40	bhbtri	B	3.336064435
44	bhbtri	B	3.128330373
48	bhbtri	B	3.117895204
60	bhbtri	B	3.049400533
72	bhbtri	B	3.15766016
96	bhbtri	B	3.031072066
120	bhbtri	B	2.957260213
0	bhri	A	0.655716172
4	bhri	A	0.665726331
8	bhri	A	0.679336264
12	bhri	A	1.023857724
16	bhri	A	1.455482804
20	bhri	A	2.054543416
24	bhri	A	2.701479924
28	bhri	A	2.772097457
32	bhri	A	2.70046652
36	bhri	A	2.665748849
48	bhri	A	2.666798223
60	bhri	A	2.608482422
72	bhri	A	2.677117419
96	bhri	A	2.696788521
120	bhri	A	2.656103872
0	bhri	B	0.657429043
4	bhri	B	0.663923648
8	bhri	B	0.661402935
12	bhri	B	0.993737263
16	bhri	B	1.455482804
20	bhri	B	1.990504131
24	bhri	B	2.53638087
28	bhri	B	2.527433632
32	bhri	B	2.444885142
36	bhri	B	2.429885843
48	bhri	B	2.429803295
60	bhri	B	2.424484019
72	bhri	B	2.442354745
96	bhri	B	2.396217084
120	bhri	B	2.397251471
0	bhri	C	0.641492143
4	bhri	C	0.65217387
8	bhri	C	0.650507172
12	bhri	C	0.980241237
16	bhri	C	1.413087935
20	bhri	C	1.936052177
24	bhri	C	2.531038306
28	bhri	C	2.80996648
32	bhri	C	2.77285261
36	bhri	C	2.771525616
48	bhri	C	2.6873875
60	bhri	C	2.653969845
72	bhri	C	2.69870857
96	bhri	C	2.721397749
120	bhri	C	2.687773493
17	bhwc1	A	0.159873668
